conv + conv + conv + fc + fc
resnet + resnet + resnet + fc + fc
inception + inception + inception + fc +fc

batchnormalization
maxpool

resnet
    i -> conv(relu) + conv(relu) -> i+o 


conv(8) + conv(16) + conv(32) + fc + fc
    Epoch 3, Perdida: 1.0151476860046387, Exactitud: 55.078125, Perdida de prueba: 1.1925336122512817, Exactitud de prueba: 43.75
    Epoch 4, Perdida: 0.9496922492980957, Exactitud: 57.421875, Perdida de prueba: 0.8689668774604797, Exactitud de prueba: 62.5
    Epoch 5, Perdida: 0.897674560546875, Exactitud: 61.796875, Perdida de prueba: 0.6251887679100037, Exactitud de prueba: 81.25
    Epoch 6, Perdida: 0.8418936729431152, Exactitud: 66.40625, Perdida de prueba: 0.6916468143463135, Exactitud de prueba: 75.0
    Epoch 7, Perdida: 0.7995595932006836, Exactitud: 68.046875, Perdida de prueba: 0.8642461895942688, Exactitud de prueba: 62.5
    Epoch 8, Perdida: 0.7571035027503967, Exactitud: 70.859375, Perdida de prueba: 0.7107247710227966, Exactitud de prueba: 87.5
    Epoch 9, Perdida: 0.7282571792602539, Exactitud: 72.734375, Perdida de prueba: 0.5513321161270142, Exactitud de prueba: 87.5
    Epoch 10, Perdida: 0.703320324420929, Exactitud: 73.28125, Perdida de prueba: 0.6984443068504333, Exactitud de prueba: 75.0
    Epoch 11, Perdida: 0.6639491319656372, Exactitud: 75.46875, Perdida de prueba: 0.5193866491317749, Exactitud de prueba: 87.5
    Epoch 12, Perdida: 0.6379708051681519, Exactitud: 76.328125, Perdida de prueba: 0.49536043405532837, Exactitud de prueba: 87.5
    Epoch 13, Perdida: 0.614681601524353, Exactitud: 78.046875, Perdida de prueba: 0.45593127608299255, Exactitud de prueba: 81.25
    Epoch 14, Perdida: 0.6272133588790894, Exactitud: 76.71875, Perdida de prueba: 0.8955831527709961, Exactitud de prueba: 68.75
    Epoch 15, Perdida: 0.5871656537055969, Exactitud: 77.8125, Perdida de prueba: 0.5782662630081177, Exactitud de prueba: 87.5
    Epoch 16, Perdida: 0.5500396490097046, Exactitud: 80.546875, Perdida de prueba: 0.6209280490875244, Exactitud de prueba: 75.0
    Epoch 17, Perdida: 0.5392581224441528, Exactitud: 81.40625, Perdida de prueba: 0.591628909111023, Exactitud de prueba: 68.75
    Epoch 18, Perdida: 0.539228618144989, Exactitud: 81.328125, Perdida de prueba: 0.4591025412082672, Exactitud de prueba: 87.5
    Epoch 19, Perdida: 0.5197890996932983, Exactitud: 81.171875, Perdida de prueba: 0.8758087158203125, Exactitud de prueba: 75.0
    Epoch 20, Perdida: 0.4834589958190918, Exactitud: 83.90625, Perdida de prueba: 0.25185734033584595, Exactitud de prueba: 100.0

conv(8) + MaxPool2D + conv(16) + MaxPool2D + conv(32) + MaxPool2D + fc + fc - data augmentation
    Epoch 1, Perdida: 1.3864177465438843, Exactitud: 24.765625, Perdida de prueba: 1.3866446018218994, Exactitud de prueba: 12.5
    Epoch 2, Perdida: 1.3863327503204346, Exactitud: 24.375, Perdida de prueba: 1.3864823579788208, Exactitud de prueba: 31.25
    Epoch 3, Perdida: 1.3863356113433838, Exactitud: 24.53125, Perdida de prueba: 1.386358380317688, Exactitud de prueba: 31.25
    Epoch 4, Perdida: 1.3863500356674194, Exactitud: 24.53125, Perdida de prueba: 1.386274814605713, Exactitud de prueba: 31.25
    Epoch 5, Perdida: 1.3863290548324585, Exactitud: 24.609375, Perdida de prueba: 1.386289358139038, Exactitud de prueba: 31.25
    Epoch 6, Perdida: 1.386330246925354, Exactitud: 23.828125, Perdida de prueba: 1.3867586851119995, Exactitud de prueba: 12.5
    Epoch 7, Perdida: 1.3863322734832764, Exactitud: 23.359375, Perdida de prueba: 1.3862055540084839, Exactitud de prueba: 37.5
    Epoch 8, Perdida: 1.386333703994751, Exactitud: 24.21875, Perdida de prueba: 1.3865008354187012, Exactitud de prueba: 12.5
